country,concept_a,concept_b,color_1,color_2,mu_D,semantic_distance
mdg,angry,banana,A1,A2,0.055400000000000005,0.07688427347359572
mdg,angry,death,A1,A2,-0.12220000000000009,0.1404858317506386
mdg,angry,happy,A1,A2,0.05259999999999998,0.0674800399319897
mdg,angry,justice,A1,A2,0.15699999999999992,0.18259166692053785
mdg,angry,lightning,A1,A2,0.09640000000000004,0.10869594571103813
mdg,angry,mango,A1,A2,0.07579999999999998,0.1057648575937089
mdg,angry,peace,A1,A2,0.026800000000000046,0.03215164952619509
mdg,angry,peach,A1,A2,-0.01739999999999997,0.02211254012121011
mdg,angry,sad,A1,A2,-0.017199999999999993,0.019391005181947862
mdg,angry,safety,A1,A2,-0.1352,0.1604322656000916
mdg,angry,sandstorm,A1,A2,0.06400000000000006,0.06936071861183057
mdg,angry,sick,A1,A2,0.007600000000000051,0.008239697311561933
mdg,angry,tree,A1,A2,0.045599999999999974,0.05745819145204445
mdg,banana,death,A1,A2,-0.17759999999999998,0.2488487257863854
mdg,banana,happy,A1,A2,-0.0028000000000000247,0.004732523816362522
mdg,banana,justice,A1,A2,0.10160000000000002,0.1473131309178719
mdg,banana,lightning,A1,A2,0.041000000000000036,0.056507436013306656
mdg,banana,mango,A1,A2,0.02040000000000003,0.04041926067000423
mdg,banana,peace,A1,A2,-0.02859999999999996,0.043177541379839646
mdg,banana,peach,A1,A2,-0.07279999999999998,0.12038394118223966
mdg,banana,sad,A1,A2,-0.07260000000000011,0.09941604687880701
mdg,banana,safety,A1,A2,-0.19060000000000005,0.2798921264166603
mdg,banana,sandstorm,A1,A2,0.008600000000000052,0.011166172623471526
mdg,banana,sick,A1,A2,-0.047799999999999954,0.0619259443028079
mdg,banana,tree,A1,A2,-0.00979999999999992,0.016052935606698293
mdg,death,happy,A1,A2,0.17480000000000007,0.2261659500505082
mdg,death,justice,A1,A2,0.2792,0.3239196851398838
mdg,death,lightning,A1,A2,0.21860000000000013,0.2471974988553527
mdg,death,mango,A1,A2,0.19800000000000006,0.27821898283586677
mdg,death,peace,A1,A2,0.14900000000000002,0.18053269685850748
mdg,death,peach,A1,A2,0.1048,0.1353120853342038
mdg,death,sad,A1,A2,0.10499999999999998,0.11985485351554348
mdg,death,safety,A1,A2,-0.013000000000000012,0.01581460336678364
mdg,death,sandstorm,A1,A2,0.18619999999999992,0.20284843083716275
mdg,death,sick,A1,A2,0.12980000000000014,0.14207749683319282
mdg,death,tree,A1,A2,0.16779999999999995,0.21333700742716344
mdg,happy,justice,A1,A2,0.10439999999999994,0.1389506292171112
mdg,happy,lightning,A1,A2,0.04380000000000006,0.05584604658272374
mdg,happy,mango,A1,A2,0.0232,0.03959324934174102
mdg,happy,peace,A1,A2,-0.025799999999999934,0.03553231501331483
mdg,happy,peach,A1,A2,-0.06999999999999995,0.10388448931906513
mdg,happy,sad,A1,A2,-0.06979999999999997,0.08852996805742563
mdg,happy,safety,A1,A2,-0.18779999999999997,0.25284505016719905
mdg,happy,sandstorm,A1,A2,0.011400000000000077,0.013806644086074016
mdg,happy,sick,A1,A2,-0.04499999999999993,0.05440162051909475
mdg,happy,tree,A1,A2,-0.007000000000000006,0.010307357696527575
mdg,justice,lightning,A1,A2,-0.06059999999999999,0.07062556918267487
mdg,justice,mango,A1,A2,-0.0812,0.11885727763015058
mdg,justice,peace,A1,A2,-0.13019999999999998,0.16075500962583122
mdg,justice,peach,A1,A2,-0.1744,0.22748792459149492
mdg,justice,sad,A1,A2,-0.1741999999999999,0.20044668685678507
mdg,justice,safety,A1,A2,-0.2922,0.3495369798595547
mdg,justice,sandstorm,A1,A2,-0.09299999999999997,0.1035617939156086
mdg,justice,sick,A1,A2,-0.14939999999999998,0.16547937247684352
mdg,justice,tree,A1,A2,-0.11140000000000005,0.14528853707949319
mdg,lightning,mango,A1,A2,-0.020600000000000063,0.028599800493496197
mdg,lightning,peace,A1,A2,-0.0696,0.08289629556024364
mdg,lightning,peach,A1,A2,-0.11380000000000001,0.14294454001070522
mdg,lightning,sad,A1,A2,-0.11359999999999992,0.1269000439750742
mdg,lightning,safety,A1,A2,-0.23159999999999992,0.2697849498235505
mdg,lightning,sandstorm,A1,A2,-0.03239999999999987,0.03498326155302717
mdg,lightning,sick,A1,A2,-0.08879999999999999,0.09559860321539254
mdg,lightning,tree,A1,A2,-0.050799999999999956,0.06359637652004496
